sentence,pattern_name,pillar,claim_type,description,matched_text,strength_score,has_verification,temporal,company_index,company_name
"It serves transportation, personal care, wellness, food, feed, agriculture, building and construction, water treatment, energy, consumables, durables, and electronics markets.",water_conservation,Environmental,performance,Water conservation or efficiency claim,water treatment,0.2,True,unspecified,0,EASTMAN CHEMICAL COMPANY
"The company commercializes products primarily across species, including livestock, such as cattle, swine, poultry, fish, and sheep and others; and companion animals comprising dogs, cats, and horses.",biodiversity,Environmental,performance,Biodiversity or ecosystem claim,species,0.0,False,unspecified,4,ZOETIS INC.
"The company generates electricity through wind, nuclear, hydroelectric, biomass, and solar energy sources, as well as coal, natural gas, oil, wood, and refuse-derived fuels.",renewable_energy,Environmental,performance,Claim about renewable energy usage,"hydroelectric, biomass, and solar energy",0.0,False,unspecified,8,"XCEL ENERGY, INC."
We manage these timberlands on a sustainable basis in compliance with internationally recognized forestry standards.,ethics_compliance,Governance,performance,Ethics and compliance program claim,compliance,0.0,False,unspecified,12,WEYERHAEUSER COMPANY
"WEC Energy Group, inc., through its subsidiaries, provides regulated natural gas and electricity, and renewable and nonregulated renewable energy services in the United States.",renewable_energy,Environmental,performance,Claim about renewable energy usage,renewable and nonregulated renewable energy,0.0,False,unspecified,16,"WEC ENERGY GROUP, INC."
"The company generates and distributes electricity from coal, natural gas, oil, and nuclear, as well as renewable energy resources, including wind, solar, hydroelectric, and biomass; and distributes and transports natural gas.",renewable_energy,Environmental,performance,Claim about renewable energy usage,renewable energy resource,0.0,False,unspecified,16,"WEC ENERGY GROUP, INC."
"Waste Management, inc., through its subsidiaries, engages in the provision of environmental solutions to residential, commercial, industrial, and municipal customers in the United States and Canada.",waste_management,Environmental,performance,Waste management or recycling claim,waste manag,0.0,False,unspecified,18,"WASTE MANAGEMENT, INC."
"It offers collection services, including picking up and transporting waste and recyclable materials from where it was generated to a transfer station, material recovery facility (MRF), or disposal site; and owns and operates transfer stations, as well as owns, develops, and operates landfill facilities that produce landfill gas used as renewable natural gas for generating electricity.",renewable_energy,Environmental,performance,Claim about renewable energy usage,renewable natural gas for generating electricity,0.0,False,past,18,"WASTE MANAGEMENT, INC."
"It also provides materials processing and commodities recycling services at its MRFs, where cardboard, paper, glass, metals, plastics, construction and demolition materials, and other recycling commodities are recovered for resale or redirected for other purposes; recycling brokerage services, such as managing the marketing of recyclable materials for third parties; and other strategic business solutions.",waste_management,Environmental,performance,Waste management or recycling claim,recycling,0.0,False,unspecified,18,"WASTE MANAGEMENT, INC."
"In addition, the company offers construction and remediation services; services related with the disposal of fly ash, and residue generated from the combustion of coal and other fuel stocks; in-plant services comprising full-service waste management solutions and consulting services; and specialized disposal services for oil and gas exploration and production operations.",waste_management,Environmental,performance,Waste management or recycling claim,waste manag,0.0,False,past,18,"WASTE MANAGEMENT, INC."
"The company was formerly known as USA Waste Services, inc. and changed its name to Waste Management, inc. in 1998.",waste_management,Environmental,performance,Waste management or recycling claim,waste manag,0.0,False,unspecified,18,"WASTE MANAGEMENT, INC."
"Waste Management, inc. was incorporated in 1987 and is headquartered in Houston, Texas.",waste_management,Environmental,performance,Waste management or recycling claim,waste manag,0.2,False,unspecified,18,"WASTE MANAGEMENT, INC."
"Further, it operates digital payment platforms; and offers financial services and related products, including money transfers, bill payments, money orders, check cashing, prepaid access, co-branded credit cards, installment lending, and earned wage access.",env_certification,Environmental,credential,Environmental certification claim,epa,0.0,False,unspecified,19,WALMART INC.
"Grainger, inc., together with its subsidiaries, distributes maintenance, repair, and operating products and services primarily in North America, Japan, the United Kingdom, and internationally.",env_certification,Environmental,credential,Environmental certification claim,epa,0.0,False,unspecified,22,"W.W. GRAINGER, INC."
"It also offers asphalt mix and asphalt construction paving services; ready-mixed concrete; and calcium products for the animal feed, plastics, and water treatment industries.",water_conservation,Environmental,performance,Water conservation or efficiency claim,water treatment,0.0,False,unspecified,24,VULCAN MATERIALS COMPANY
"It also offers credit, debit, and prepaid card products; tap to pay, tokenization, and click to pay services; Visa Direct, a solution that facilitates the delivery of funds to eligible cards, deposit accounts, and digital wallets; Visa B2B Connect, a multilateral business-to-business cross-border payments network; Visa Cross-Border Solution, a cross-border consumer payments solution; and Visa DPS that provides a range of value-added services, including fraud mitigation, dispute management, data analytics, campaign management, a suite of digital solutions, and contact center services.",env_certification,Environmental,credential,Environmental certification claim,epa,0.0,False,unspecified,25,VISA INC.
